number,value,datetime_start,datetime_complete,duration,params_batch,params_eps_end,params_eps_start,params_grid_points,params_hidden,params_lambda_frequency,params_lr,params_mix_student_weight,params_reward_source,params_steps,params_tau,user_attrs_exact_oracle_rate,user_attrs_gain_vs_ondemand,user_attrs_median_regret,user_attrs_proxy_states,user_attrs_seconds,user_attrs_worst_regret,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
4,0.061474542243830865,2026-09-18 17:24:16.418840,2026-09-18 17:24:25.474777,0 days 00:00:09.055937,99,0.0176985004103839,0.9453119645161818,156,48,0.420167205437253,0.00547746913176007,,student,2276,0.059963338824126605,0.5,0.5107068681458823,0.061474542243830865,"x86@10,x86@100",9.053868735209107,0.12294908448766173,,,COMPLETE
15,0.061474542243830865,2026-09-18 17:26:03.385910,2026-09-18 17:26:12.844355,0 days 00:00:09.458445,92,0.0250185156327777,0.7881177028372847,133,48,0.6502271845774319,0.00446755492306294,0.9936357520196075,mix,2439,0.03413100885389321,0.5,0.5107068681458823,0.061474542243830865,"x86@10,x86@100",9.434974298812449,0.12294908448766173,,"{""batch"": 92, ""eps_end"": 0.0250185156327777, ""eps_start"": 0.7881177028372847, ""grid_points"": 133, ""hidden"": 48, ""lambda_frequency"": 0.6502271845774319, ""lr"": 0.00446755492306294, ""reward_source"": ""mix"", ""steps"": 2439, ""tau"": 0.03413100885389321}",COMPLETE
13,0.061474542243830865,2026-09-18 17:25:46.248718,2026-09-18 17:25:55.545776,0 days 00:00:09.297058,128,0.06655932758465072,0.7260544007080708,144,48,0.19789847754918874,0.0032999523438564334,,student,2099,0.07179180731147193,0.5,0.5107068681458823,0.061474542243830865,"x86@10,x86@100",9.278375279158354,0.12294908448766173,,"{""batch"": 128, ""eps_end"": 0.06655932758465072, ""eps_start"": 0.7260544007080708, ""grid_points"": 144, ""hidden"": 48, ""lambda_frequency"": 0.19789847754918874, ""lr"": 0.0032999523438564334, ""reward_source"": ""student"", ""steps"": 2099, ""tau"": 0.07179180731147193}",COMPLETE
8,0.3297043453523726,2026-09-18 17:24:51.348033,2026-09-18 17:25:01.921304,0 days 00:00:10.573271,209,0.1266807513020847,0.8656842656950918,100,48,6.533305220227734,0.000595380396520352,,student,1908,0.16201847221720986,0.5,0.4530530532332327,0.3297043453523726,"x86@10,x86@100",10.571342710405588,0.6594086907047452,,,COMPLETE
12,0.3297043453523726,2026-09-18 17:25:36.160852,2026-09-18 17:25:46.248623,0 days 00:00:10.087771,174,0.07825211248167072,0.8137860799572365,121,48,9.2660902916974,0.0006261063088689695,,student,1984,0.08812028200952968,0.5,0.4530530532332327,0.3297043453523726,"x86@10,x86@100",10.068263477645814,0.6594086907047452,,"{""batch"": 174, ""eps_end"": 0.07825211248167072, ""eps_start"": 0.8137860799572365, ""grid_points"": 121, ""hidden"": 48, ""lambda_frequency"": 9.2660902916974, ""lr"": 0.0006261063088689695, ""reward_source"": ""student"", ""steps"": 1984, ""tau"": 0.08812028200952968}",COMPLETE
0,0.43664050900068385,2026-09-18 17:23:32.708077,2026-09-18 17:23:41.635240,0 days 00:00:08.927163,128,0.05,1.0,96,48,2.0,0.003,,student,2000,0.05,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",8.926025787368417,0.8732810180013677,"{'reward_source': 'student', 'lambda_frequency': 2.0, 'grid_points': 96, 'steps': 2000, 'batch': 128, 'lr': 0.003, 'hidden': 48, 'tau': 0.05, 'eps_start': 1.0, 'eps_end': 0.05}",,COMPLETE
2,0.43664050900068385,2026-09-18 17:23:46.186902,2026-09-18 17:23:56.821427,0 days 00:00:10.634525,90,0.1184829137724085,0.6599641068895281,108,64,0.7309539835912913,0.0007197972872043817,0.5247564316322378,mix,2452,0.018187859051288217,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",10.632267203181982,0.8732810180013677,,,COMPLETE
1,0.43664050900068385,2026-09-18 17:23:41.635431,2026-09-18 17:23:46.186783,0 days 00:00:04.551352,75,0.04246782213565523,0.8827098485602951,80,48,1.5751320499779735,0.004018300412025147,,teacher,1221,0.18276027831785724,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",4.548766151070595,0.8732810180013677,,,COMPLETE
9,0.43664050900068385,2026-09-18 17:25:01.921398,2026-09-18 17:25:22.991548,0 days 00:00:21.070150,236,0.0013904261062381408,0.9025114082794403,160,64,6.0970252974914345,0.0007777738088116284,,student,2980,0.11594759566372474,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",21.068138445727527,0.8732810180013677,,,COMPLETE
10,0.43664050900068385,2026-09-18 17:25:22.991701,2026-09-18 17:25:27.940018,0 days 00:00:04.948317,125,0.05487244058378751,0.8894422004104041,233,48,1.529751599623609,0.00448473983364634,,student,1128,0.04018510331539489,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",4.92942529078573,0.8732810180013677,,"{""batch"": 125, ""eps_end"": 0.05487244058378751, ""eps_start"": 0.8894422004104041, ""grid_points"": 233, ""hidden"": 48, ""lambda_frequency"": 1.529751599623609, ""lr"": 0.00448473983364634, ""reward_source"": ""student"", ""steps"": 1128, ""tau"": 0.04018510331539489}",COMPLETE
5,0.43664050900068385,2026-09-18 17:24:25.474880,2026-09-18 17:24:32.994204,0 days 00:00:07.519324,118,0.03974313630683449,0.8405713385076601,221,48,0.34889766548903667,0.0015247025879164364,0.388677289689482,mix,1763,0.19229567074543377,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",7.517242892645299,0.8732810180013677,,,COMPLETE
3,0.43664050900068385,2026-09-18 17:23:56.821677,2026-09-18 17:24:16.418711,0 days 00:00:19.597034,220,0.006877704223043679,0.6466238370778892,246,48,0.1349283426801325,0.0007471931908147319,,teacher,3408,0.014413697528610409,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",19.594633081927896,0.8732810180013677,,,COMPLETE
14,0.43664050900068385,2026-09-18 17:25:55.545872,2026-09-18 17:26:03.385815,0 days 00:00:07.839943,80,0.007312633024048783,0.9398381851570662,138,48,0.16773633052425643,0.0024196031487540293,,student,2104,0.07137235541390985,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",7.820680832490325,0.8732810180013677,,"{""batch"": 80, ""eps_end"": 0.007312633024048783, ""eps_start"": 0.9398381851570662, ""grid_points"": 138, ""hidden"": 48, ""lambda_frequency"": 0.16773633052425643, ""lr"": 0.0024196031487540293, ""reward_source"": ""student"", ""steps"": 2104, ""tau"": 0.07137235541390985}",COMPLETE
19,0.43664050900068385,2026-09-18 17:26:42.564223,2026-09-18 17:26:50.866208,0 days 00:00:08.301985,127,0.11649271447073356,0.9583191676614697,164,48,0.20150502070134482,0.0035667497413384435,,student,1891,0.044938747668388554,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",8.280145039781928,0.8732810180013677,,"{""batch"": 127, ""eps_end"": 0.11649271447073356, ""eps_start"": 0.9583191676614697, ""grid_points"": 164, ""hidden"": 48, ""lambda_frequency"": 0.20150502070134482, ""lr"": 0.0035667497413384435, ""reward_source"": ""student"", ""steps"": 1891, ""tau"": 0.044938747668388554}",COMPLETE
18,0.43664050900068385,2026-09-18 17:26:34.072647,2026-09-18 17:26:42.564127,0 days 00:00:08.491480,68,0.05375291812589145,0.6862204788950715,182,48,0.3479983972635597,0.0031611705512148117,,student,2391,0.05295773376051042,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",8.469279187731445,0.8732810180013677,,"{""batch"": 68, ""eps_end"": 0.05375291812589145, ""eps_start"": 0.6862204788950715, ""grid_points"": 182, ""hidden"": 48, ""lambda_frequency"": 0.3479983972635597, ""lr"": 0.0031611705512148117, ""reward_source"": ""student"", ""steps"": 2391, ""tau"": 0.05295773376051042}",COMPLETE
16,0.43664050900068385,2026-09-18 17:26:12.844452,2026-09-18 17:26:23.574216,0 days 00:00:10.729764,86,0.052988279840575844,0.9343314213772196,204,48,0.2870837675547971,0.005807532000403013,,teacher,2821,0.06189269558340289,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",10.708845920860767,0.8732810180013677,,"{""batch"": 86, ""eps_end"": 0.052988279840575844, ""eps_start"": 0.9343314213772196, ""grid_points"": 204, ""hidden"": 48, ""lambda_frequency"": 0.2870837675547971, ""lr"": 0.005807532000403013, ""reward_source"": ""teacher"", ""steps"": 2821, ""tau"": 0.06189269558340289}",COMPLETE
22,0.43664050900068385,2026-09-18 17:27:06.692326,2026-09-18 17:27:16.659688,0 days 00:00:09.967362,111,0.0003933443229351234,0.892377483477008,170,48,0.6573502546225676,0.003322274186522172,,student,2400,0.03254889301695743,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",9.946291329339147,0.8732810180013677,,"{""batch"": 111, ""eps_end"": 0.0003933443229351234, ""eps_start"": 0.892377483477008, ""grid_points"": 170, ""hidden"": 48, ""lambda_frequency"": 0.6573502546225676, ""lr"": 0.003322274186522172, ""reward_source"": ""student"", ""steps"": 2400, ""tau"": 0.03254889301695743}",COMPLETE
21,0.43664050900068385,2026-09-18 17:26:54.932226,2026-09-18 17:27:06.692226,0 days 00:00:11.760000,87,0.019229749101308542,0.8778599631792148,138,64,0.5722593809334199,0.0026602620892707696,,student,2730,0.06981642354539969,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",11.737850676290691,0.8732810180013677,,"{""batch"": 87, ""eps_end"": 0.019229749101308542, ""eps_start"": 0.8778599631792148, ""grid_points"": 138, ""hidden"": 64, ""lambda_frequency"": 0.5722593809334199, ""lr"": 0.0026602620892707696, ""reward_source"": ""student"", ""steps"": 2730, ""tau"": 0.06981642354539969}",COMPLETE
23,0.43664050900068385,2026-09-18 17:27:16.659780,2026-09-18 17:27:25.978740,0 days 00:00:09.318960,70,0.031361885846513525,0.890371622647503,102,48,0.5814752213666196,0.004951442627062984,,student,2609,0.03208618512847222,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",9.295635100454092,0.8732810180013677,,"{""batch"": 70, ""eps_end"": 0.031361885846513525, ""eps_start"": 0.890371622647503, ""grid_points"": 102, ""hidden"": 48, ""lambda_frequency"": 0.5814752213666196, ""lr"": 0.004951442627062984, ""reward_source"": ""student"", ""steps"": 2609, ""tau"": 0.03208618512847222}",COMPLETE
20,0.43664050900068385,2026-09-18 17:26:50.866383,2026-09-18 17:26:54.932131,0 days 00:00:04.065748,66,0.041832498180949695,0.8103534644499909,118,48,0.10992273286942317,0.00462162953239629,,student,1147,0.055118850643809544,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",4.042754709720612,0.8732810180013677,,"{""batch"": 66, ""eps_end"": 0.041832498180949695, ""eps_start"": 0.8103534644499909, ""grid_points"": 118, ""hidden"": 48, ""lambda_frequency"": 0.10992273286942317, ""lr"": 0.00462162953239629, ""reward_source"": ""student"", ""steps"": 1147, ""tau"": 0.055118850643809544}",COMPLETE
24,0.43664050900068385,2026-09-18 17:27:25.978834,2026-09-18 17:27:35.692934,0 days 00:00:09.714100,140,0.024451207671134123,0.8716056471168727,197,48,0.6928015378593078,0.0058723993709019285,,student,2100,0.06563025681862135,0.5,0.43006799447019245,0.43664050900068385,"x86@10,x86@100",9.691964663565159,0.8732810180013677,,"{""batch"": 140, ""eps_end"": 0.024451207671134123, ""eps_start"": 0.8716056471168727, ""grid_points"": 197, ""hidden"": 48, ""lambda_frequency"": 0.6928015378593078, ""lr"": 0.0058723993709019285, ""reward_source"": ""student"", ""steps"": 2100, ""tau"": 0.06563025681862135}",COMPLETE
17,0.7739255713101034,2026-09-18 17:26:23.574460,2026-09-18 17:26:34.072480,0 days 00:00:10.498020,161,0.02753111042565872,0.5055812930104421,147,48,0.2958649595868317,0.005805774609455795,,student,2150,0.05067293019413798,0.5,0.35757131315502977,0.7739255713101034,"x86@10,x86@100",10.476443723775446,1.5478511426202068,,"{""batch"": 161, ""eps_end"": 0.02753111042565872, ""eps_start"": 0.5055812930104421, ""grid_points"": 147, ""hidden"": 48, ""lambda_frequency"": 0.2958649595868317, ""lr"": 0.005805774609455795, ""reward_source"": ""student"", ""steps"": 2150, ""tau"": 0.05067293019413798}",COMPLETE
7,0.7739255713101034,2026-09-18 17:24:36.925567,2026-09-18 17:24:51.347919,0 days 00:00:14.422352,172,0.006285837137346851,0.37552399889531307,197,48,0.17345566642360938,0.003021152733870045,0.4722149251619493,mix,2854,0.010791232418686401,0.5,0.35757131315502977,0.7739255713101034,"x86@10,x86@100",14.42031366378069,1.5478511426202068,,,COMPLETE
11,0.8521694078636921,2026-09-18 17:25:27.940114,2026-09-18 17:25:36.160676,0 days 00:00:08.220562,73,0.033634933222637886,0.7474348589315395,95,48,1.2673172126148706,0.00036672427702640525,,student,2276,0.15799631396514544,0.5,0.34075343677277414,0.8521694078636921,"x86@10,x86@100",8.20308508258313,1.7043388157273842,,"{""batch"": 73, ""eps_end"": 0.033634933222637886, ""eps_start"": 0.7474348589315395, ""grid_points"": 95, ""hidden"": 48, ""lambda_frequency"": 1.2673172126148706, ""lr"": 0.00036672427702640525, ""reward_source"": ""student"", ""steps"": 2276, ""tau"": 0.15799631396514544}",COMPLETE
6,0.8680555577421669,2026-09-18 17:24:32.994328,2026-09-18 17:24:36.925474,0 days 00:00:03.931146,133,0.06503666440534941,0.5176876252009635,209,32,2.8708753481954687,0.00042449284724824286,,teacher,999,0.012097379927033842,0.5,0.3373388380437971,0.8680555577421669,"x86@10,x86@100",3.9291946990415454,1.7361111154843338,,,COMPLETE
